"InsertedDate","TicketID","BrandID","FirstlevelTAT_Seconds","TotalTAT_Seconds","IsTicketClosed","AssignToAgentUserID","ClosedBy","BrandName"
2023-12-06,435764,6954,,180,1,,14813,TATADigital
2023-12-06,435765,6954,,179,1,,14813,TATADigital
2023-12-06,435766,6954,,177,1,,14813,TATADigital
2023-12-06,435767,6954,,176,1,,14813,TATADigital
2023-12-06,435756,6954,,220,1,,14813,TATADigital
2023-12-06,435757,6954,,219,1,,14813,TATADigital
2023-12-06,435758,6954,,215,1,,14813,TATADigital
2023-12-06,435759,6954,,207,1,,14813,TATADigital
2023-12-06,435760,6954,,192,1,,14813,TATADigital
2023-12-06,435761,6954,,189,1,,14813,TATADigital
2023-12-06,435750,6954,,255,1,,14813,TATADigital
2023-12-06,435751,6954,,252,1,,14813,TATADigital
2023-12-06,435752,6954,,247,1,,14813,TATADigital
2023-12-06,435753,6954,,233,1,,14813,TATADigital
2023-12-06,435754,6954,,227,1,,14813,TATADigital
2023-12-06,435755,6954,,224,1,,14813,TATADigital
2023-12-06,435744,6954,,288,1,,14813,TATADigital
2023-12-06,435745,6954,,280,1,,14813,TATADigital
2023-12-06,435746,6954,,273,1,,14813,TATADigital
2023-12-06,435747,6954,,272,1,,14813,TATADigital
2023-12-06,435748,6954,,267,1,,14813,TATADigital
2023-12-06,435749,6954,,260,1,,14813,TATADigital
2023-12-06,435738,6954,,310,1,,14813,TATADigital
2023-12-06,435739,6954,,305,1,,14813,TATADigital
2023-12-06,435740,6954,,301,1,,14813,TATADigital
2023-12-06,435741,6954,,298,1,,14813,TATADigital
2023-12-06,435742,6954,,296,1,,14813,TATADigital
2023-12-06,435743,6954,,289,1,,14813,TATADigital
2023-12-06,435732,6954,,461,1,,14813,TATADigital
2023-12-06,435733,6954,,460,1,,14813,TATADigital
2023-12-06,435734,6954,,458,1,,14813,TATADigital
2023-12-06,435735,6954,,326,1,,14813,TATADigital
2023-12-06,435736,6954,,319,1,,14813,TATADigital
2023-12-06,435737,6954,,316,1,,14813,TATADigital
2023-12-06,435726,6954,,479,1,,14813,TATADigital
2023-12-06,435727,6954,,477,1,,14813,TATADigital
2023-12-06,435728,6954,,474,1,,14813,TATADigital
2023-12-06,435729,6954,,471,1,,14813,TATADigital
2023-12-06,435730,6954,,466,1,,14813,TATADigital
2023-12-06,435731,6954,,464,1,,14813,TATADigital
2023-12-06,435720,6954,,505,1,,14813,TATADigital
2023-12-06,435721,6954,,500,1,,14813,TATADigital
2023-12-06,435722,6954,,627,1,,14813,TATADigital
2023-12-06,435723,6954,,497,1,,14813,TATADigital
2023-12-06,435724,6954,,483,1,,14813,TATADigital
2023-12-06,435725,6954,,481,1,,14813,TATADigital
2023-12-06,435714,6954,,519,1,,14813,TATADigital
2023-12-06,435715,6954,,517,1,,14813,TATADigital
2023-12-06,435716,6954,,515,1,,14813,TATADigital
